file_stem image_name camera_group camera_id width height
MR0_485464658EDR_S0480876MCAM04379D1 MR0_485464658EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485464691EDR_S0480876MCAM04379D1 MR0_485464691EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485464935EDR_S0480876MCAM04379D1 MR0_485464935EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485464973EDR_S0480876MCAM04379D1 MR0_485464973EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485464992EDR_S0480876MCAM04379D1 MR0_485464992EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485465027EDR_S0480876MCAM04379D1 MR0_485465027EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485465100EDR_S0480876MCAM04379D1 MR0_485465100EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485465134EDR_S0480876MCAM04379D1 MR0_485465134EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485465152EDR_S0480876MCAM04379D1 MR0_485465152EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485465241EDR_S0480876MCAM04379D1 MR0_485465241EDR_S0480876MCAM04379D1.png MR0_1344x1200 1 1344 1200
MR0_485465292EDR_S0480876MCAM04380D1 MR0_485465292EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465315EDR_S0480876MCAM04380D1 MR0_485465315EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465333EDR_S0480876MCAM04380D1 MR0_485465333EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465351EDR_S0480876MCAM04380D1 MR0_485465351EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465386EDR_S0480876MCAM04380D1 MR0_485465386EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465418EDR_S0480876MCAM04380D1 MR0_485465418EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465436EDR_S0480876MCAM04380D1 MR0_485465436EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465470EDR_S0480876MCAM04380D1 MR0_485465470EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
MR0_485465488EDR_S0480876MCAM04380D1 MR0_485465488EDR_S0480876MCAM04380D1.png MR0_1344x1200 1 1344 1200
