file_stem image_name camera_group camera_id width height
ML0_673757778EDR_S0872902MCAM00037D1 ML0_673757778EDR_S0872902MCAM00037D1.png ML0 1 1152 432
ML0_673757797EDR_S0872902MCAM00037D1 ML0_673757797EDR_S0872902MCAM00037D1.png ML0 1 1152 432
ML0_673757813EDR_S0872902MCAM00037D1 ML0_673757813EDR_S0872902MCAM00037D1.png ML0 1 1152 432
ML0_673757840EDR_S0872902MCAM00037D1 ML0_673757840EDR_S0872902MCAM00037D1.png ML0 1 1152 432
ML0_673757856EDR_S0872902MCAM00037D1 ML0_673757856EDR_S0872902MCAM00037D1.png ML0 1 1152 432
ML0_673757884EDR_S0872902MCAM00037D1 ML0_673757884EDR_S0872902MCAM00037D1.png ML0 1 1152 432
ML0_674204096EDR_S0880000MCAM00054D1 ML0_674204096EDR_S0880000MCAM00054D1.png ML0 1 1152 432
ML0_674204124EDR_S0880000MCAM00054D1 ML0_674204124EDR_S0880000MCAM00054D1.png ML0 1 1152 432
ML0_674204140EDR_S0880000MCAM00054D1 ML0_674204140EDR_S0880000MCAM00054D1.png ML0 1 1152 432
ML0_674204168EDR_S0880000MCAM00054D1 ML0_674204168EDR_S0880000MCAM00054D1.png ML0 1 1152 432
ML0_674204273EDR_S0880000MCAM00054D1 ML0_674204273EDR_S0880000MCAM00054D1.png ML0 1 1152 432
MR0_673757778EDR_S0872902MCAM00037D1 MR0_673757778EDR_S0872902MCAM00037D1.png MR0 2 1328 1184
MR0_673757797EDR_S0872902MCAM00037D1 MR0_673757797EDR_S0872902MCAM00037D1.png MR0 2 1328 1184
MR0_673757884EDR_S0872902MCAM00037D1 MR0_673757884EDR_S0872902MCAM00037D1.png MR0 2 1328 1184
MR0_674204096EDR_S0880000MCAM00054D1 MR0_674204096EDR_S0880000MCAM00054D1.png MR0 2 1328 1184
MR0_674204124EDR_S0880000MCAM00054D1 MR0_674204124EDR_S0880000MCAM00054D1.png MR0 2 1328 1184
MR0_674204140EDR_S0880000MCAM00054D1 MR0_674204140EDR_S0880000MCAM00054D1.png MR0 2 1328 1184
MR0_674204168EDR_S0880000MCAM00054D1 MR0_674204168EDR_S0880000MCAM00054D1.png MR0 2 1328 1184
